"SID","ID","JOB_DEF","FILIAL","COMMENT"
"t006991","b007140","HR","TempSupervisor","Cross-trained staff"
"t007550","b008346","HR","Manager","Back office tasks"
"t006511","b005320","Support","Manager","Cross-trained staff"
"t008833","b005561","IT","Manager","Cross-trained staff"
"t007948","b009489","HR","Backup","Front office replacement"
"t006486","b003251","Sales","Manager","Cross-trained staff"
"t007583","b006920","Marketing","Lead","Front office replacement"
"t005522","b009174","Marketing","TempSupervisor","Front office replacement"
"t007991","b007776","Support","TempSupervisor","Front office replacement"
"t005371","b001154","Sales","Supervisor","Front office replacement"
"t005621","b002457","HR","Supervisor","Temporary assignment"
"t006419","b005287","HR","TempSupervisor","Back office tasks"
"t006695","b006977","Sales","Lead","Front office replacement"
"t007963","b008205","HR","Lead","Temporary assignment"
"t008322","b004260","Sales","TempSupervisor","Temporary assignment"
"t008152","b009455","Finance","Backup","Cross-trained staff"
"t006711","b006740","Sales","Manager","Temporary assignment"
"t008353","b002806","Finance","Lead","Back office tasks"
"t008530","b003667","HR","Backup","Cross-trained staff"
"t008503","b006208","Support","Lead","Front office replacement"
"t005247","b004426","Support","Manager","Cross-trained staff"
"t009059","b002123","Finance","Supervisor","Front office replacement"
"t007062","b008720","Marketing","Backup","Temporary assignment"
"t009024","b009283","Sales","Supervisor","Back office tasks"
"t008021","b003429","Sales","Lead","Handles VIP clients"
"t007409","b008073","Marketing","Backup","Handles VIP clients"
"t007042","b007243","Support","Backup","Cross-trained staff"
"t006239","b009756","Marketing","Supervisor","Handles VIP clients"
"t006223","b003968","Sales","Lead","Back office tasks"
"t008572","b008649","Finance","Backup","Front office replacement"
"t005532","b004357","HR","TempSupervisor","Front office replacement"
"t007389","b004979","IT","Backup","Cross-trained staff"
"t008345","b002784","IT","FrontDesk","Front office replacement"
"t006052","b008396","Finance","Backup","Handles VIP clients"
"t005475","b001254","Marketing","TempSupervisor","Cross-trained staff"
"t005034","b005237","IT","FrontDesk","Back office tasks"
"t005039","b006714","HR","Supervisor","Front office replacement"
"t008904","b001264","Finance","FrontDesk","Temporary assignment"
"t006543","b002318","Support","Lead","Temporary assignment"
"t007422","b004989","IT","FrontDesk","Handles VIP clients"
"t009745","b004122","IT","Backup","Front office replacement"
"t006999","b009468","HR","FrontDesk","Handles VIP clients"
"t005614","b004054","IT","Lead","Back office tasks"
"t007904","b005306","Sales","FrontDesk","Temporary assignment"
"t008902","b005745","Sales","Manager","Handles VIP clients"
"t005325","b002146","Support","Supervisor","Cross-trained staff"
"t006629","b002515","Finance","FrontDesk","Handles VIP clients"
"t009332","b004101","HR","Supervisor","Back office tasks"
"t009753","b007583","HR","Lead","Cross-trained staff"
"t005714","b004281","Marketing","Backup","Cross-trained staff"
"t009963","b002628","Sales","TempSupervisor","Back office tasks"
"t007758","b001229","Support","Backup","Cross-trained staff"
"t009161","b009535","Support","Manager","Back office tasks"
"t006738","b001418","HR","TempSupervisor","Front office replacement"
"t006902","b007772","IT","Manager","Front office replacement"
"t009166","b009635","HR","TempSupervisor","Cross-trained staff"
"t008902","b006180","Finance","Backup","Cross-trained staff"
"t006554","b006627","Sales","FrontDesk","Front office replacement"
"t009134","b007686","IT","Backup","Front office replacement"
"t008405","b005684","HR","Lead","Back office tasks"
"t007812","b003639","Sales","TempSupervisor","Handles VIP clients"
"t006169","b005472","Finance","FrontDesk","Cross-trained staff"
"t007514","b002271","Sales","Backup","Temporary assignment"
"t009379","b002842","IT","Manager","Handles VIP clients"
"t005518","b006308","HR","FrontDesk","Handles VIP clients"
"t009173","b005037","Support","Manager","Temporary assignment"
"t005013","b007013","Marketing","Manager","Temporary assignment"
"t008540","b007159","Support","TempSupervisor","Back office tasks"
"t009393","b004408","HR","Manager","Cross-trained staff"
"t009316","b001614","Marketing","Supervisor","Front office replacement"
"t009574","b004204","Support","TempSupervisor","Front office replacement"
"t006956","b001813","Sales","TempSupervisor","Temporary assignment"
"t005524","b001045","HR","Lead","Handles VIP clients"
"t005846","b007449","Support","FrontDesk","Temporary assignment"
"t005127","b001301","Sales","Lead","Temporary assignment"
"t009864","b007154","Support","FrontDesk","Temporary assignment"
"t007255","b001335","Sales","Supervisor","Front office replacement"
"t008416","b006033","HR","FrontDesk","Temporary assignment"
"t006802","b006684","Marketing","Manager","Temporary assignment"
"t006369","b008744","Marketing","Backup","Cross-trained staff"
"t006750","b005871","Support","Supervisor","Temporary assignment"
"t005708","b008839","HR","Lead","Back office tasks"
"t008361","b006953","Marketing","TempSupervisor","Temporary assignment"
"t009462","b002954","HR","Backup","Front office replacement"
"t008946","b001982","IT","Supervisor","Handles VIP clients"
"t008603","b004949","HR","Backup","Cross-trained staff"
"t008730","b008817","HR","TempSupervisor","Handles VIP clients"
"t005514","b009401","Sales","Manager","Back office tasks"
"t009541","b008899","Sales","Manager","Handles VIP clients"
"t008162","b009673","Marketing","TempSupervisor","Back office tasks"
"t009595","b004124","Finance","Lead","Cross-trained staff"
"t007928","b009802","HR","Lead","Cross-trained staff"
"t007003","b006080","Support","Lead","Temporary assignment"
"t009966","b009519","Sales","TempSupervisor","Handles VIP clients"
"t007420","b008225","Marketing","Backup","Cross-trained staff"
"t008720","b004031","Finance","Lead","Back office tasks"
"t008295","b004358","Support","Backup","Front office replacement"
"t006545","b002664","Sales","TempSupervisor","Front office replacement"
"t008615","b004740","Sales","FrontDesk","Handles VIP clients"
"t005369","b001312","Finance","Supervisor","Front office replacement"
"t006090","b004702","HR","Supervisor","Temporary assignment"
"t008338","b001413","Sales","TempSupervisor","Temporary assignment"
"t009448","b004197","IT","Backup","Handles VIP clients"
"t009716","b002407","Support","Supervisor","Back office tasks"
"t006263","b002289","IT","Lead","Front office replacement"
"t007994","b001428","Sales","Manager","Back office tasks"
"t007200","b004528","HR","FrontDesk","Temporary assignment"
"t005213","b007835","Finance","Manager","Handles VIP clients"
"t009256","b008973","Support","Backup","Temporary assignment"
"t008990","b002225","Finance","FrontDesk","Handles VIP clients"
"t009268","b004124","Support","TempSupervisor","Temporary assignment"
"t005908","b003507","Sales","TempSupervisor","Front office replacement"
"t006527","b009545","Sales","TempSupervisor","Handles VIP clients"
"t005744","b004502","Support","Backup","Cross-trained staff"
"t006063","b003475","Marketing","TempSupervisor","Front office replacement"
"t008639","b005654","Sales","TempSupervisor","Front office replacement"
"t008833","b007259","Sales","Lead","Back office tasks"
"t005586","b005968","HR","TempSupervisor","Front office replacement"
"t009268","b004565","Sales","Lead","Back office tasks"
"t008998","b006519","Sales","Backup","Back office tasks"
"t006559","b004780","Finance","Supervisor","Handles VIP clients"
"t009512","b006527","HR","Backup","Back office tasks"
"t005576","b007563","IT","Manager","Front office replacement"
"t009961","b007709","Sales","Lead","Temporary assignment"
"t007852","b001818","Sales","Manager","Temporary assignment"
"t005339","b008386","Sales","Lead","Cross-trained staff"
"t008608","b004800","Finance","Supervisor","Handles VIP clients"
"t008419","b003966","IT","FrontDesk","Handles VIP clients"
"t007449","b002052","Marketing","Supervisor","Back office tasks"
"t009495","b008062","Marketing","TempSupervisor","Handles VIP clients"
"t008962","b006773","IT","Manager","Back office tasks"
"t005101","b007172","Support","TempSupervisor","Temporary assignment"
"t009635","b008030","Sales","FrontDesk","Front office replacement"
"t006228","b007744","HR","Lead","Cross-trained staff"
"t007719","b006632","Finance","Lead","Back office tasks"
"t007609","b004793","Sales","Manager","Front office replacement"
"t007725","b005235","Sales","FrontDesk","Cross-trained staff"
"t007505","b006766","HR","TempSupervisor","Handles VIP clients"
"t005934","b001638","Sales","Manager","Cross-trained staff"
"t006283","b001268","Support","Manager","Temporary assignment"
